# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	25055
#@/user_id	c10b546d-9061-4101-80d7-81e8dd66747f
a 	啊	c=107 d=7.79577 t=25055
fa bu hui 	发布会	c=2 d=0.171187 t=25055
fa bu liao 	发不了	c=1 d=0.882497 t=25055
fa chu 	发出	c=1 d=0.778801 t=25055
fa gei wo 	发给我	c=1 d=0.321422 t=25055
fa guo lai 	发过来	c=1 d=1.7201e-28 t=25055
fa ming 	发明	c=2 d=0.660214 t=25055
fa sheng 	发生	c=9 d=0.588539 t=25055
fa sheng zai 	发生在	c=1 d=5.26379e-10 t=25055
fa shou fang 	发受访	c=1 d=0.83527 t=25055
fa song 	发送	c=12 d=6.96041 t=25055
fa song fang 	发送方	c=1 d=0.744532 t=25055
fa tu 	发图	c=1 d=3.24763e-05 t=25055
fa wo 	罚我	c=1 d=5.25467e-19 t=25055
fa xian 	发现	c=18 d=0.407202 t=25055
fa xian shi 	发现是	c=1 d=0.251579 t=25055
fa xin nian 	发新年	c=1 d=0.255381 t=25055
fa xing ban 	发行版	c=2 d=5.74369e-25 t=25055
fa xing bu 	发行部	c=1 d=1.83975e-25 t=25055
fa yi ge 	发一个	c=1 d=1.37283e-22 t=25055
fa yin 	发音	c=1 d=0.00157264 t=25055
fan 	反	c=1 d=0.489192 t=25055
fan 	樊	c=2 d=0.163777 t=25055
fan 	泛	c=0 d=4.24402e-07 t=25055
fan 	犯	c=1 d=0.794534 t=25055
fan 	番	c=2 d=1.00176 t=25055
fan 	饭	c=1 d=3.22419e-08 t=25055
fan bo 	反驳	c=1 d=0.315058 t=25055
fan chi 	饭吃	c=1 d=7.74891e-30 t=25055
fan dui 	反对	c=1 d=0.603506 t=25055
fan fang xiang 	反方向	c=1 d=0.0399551 t=25055
fan fu 	反复	c=3 d=4.25052e-24 t=25055
fan gen 	范根	c=1 d=3.49688e-22 t=25055
fan gu 	反骨	c=2 d=4.56002e-31 t=25055
fan guo lai 	反过来	c=1 d=0.814647 t=25055
fan hui 	返回	c=21 d=1.23629e-05 t=25055
fan hui can shu 	返回参数	c=1 d=1.29803e-10 t=25055
fan hui zhi 	返回值	c=22 d=3.89654e-05 t=25055
fan hui zhi bu shi 	返回值不是	c=1 d=3.27236e-06 t=25055
fan juan 	反卷	c=1 d=0.941765 t=25055
fan le 	翻了	c=1 d=0.458406 t=25055
fan mang 	繁忙	c=1 d=0.355226 t=25055
fan qie 	番茄	c=4 d=4.96352e-34 t=25055
fan qie zhong 	番茄钟	c=2 d=1.63158e-34 t=25055
fan shi 	凡是	c=1 d=1.82082e-21 t=25055
fan shi 	范式	c=1 d=0.597501 t=25055
fan suo 	繁琐	c=1 d=0.0845849 t=25055
fan wei 	范围	c=3 d=2.87393e-08 t=25055
fan xing 	泛型	c=1 d=2.63831e-31 t=25055
fan xing 	繁星	c=1 d=0.718924 t=25055
fan yi 	翻译	c=7 d=7.30306e-05 t=25055
fan yi fan yi 	翻译翻译	c=1 d=1.66524e-29 t=25055
fan yi gei 	翻译给	c=1 d=0.000696112 t=25055
fan ying 	反应	c=2 d=0.246597 t=25055
fan ying 	反映	c=1 d=7.76821e-34 t=25055
fan yu 	繁育	c=1 d=3.81437e-15 t=25055
fan zhao 	翻找	c=1 d=5.23202e-27 t=25055
fan zheng 	反正	c=11 d=1.25175 t=25055
fan zhuan 	反转	c=10 d=0.23457 t=25055
fan zhuan 	翻转	c=2 d=3.46574e-05 t=25055
fan zuo zhi 	泛左值	c=1 d=4.26529e-06 t=25055
fang 	放	c=4 d=0.62793 t=25055
fang 	方	c=1 d=0.843665 t=25055
fang an 	方案	c=3 d=1.67162 t=25055
fang bian 	方便	c=6 d=0.45612 t=25055
fang dao 	放到	c=6 d=0.986245 t=25055
fang de kai 	放得开	c=0 d=0.0650509 t=25055
fang fa 	方法	c=28 d=0.065928 t=25055
fang huo qiang 	防火墙	c=2 d=1.59309 t=25055
fang kuai 	方块	c=2 d=2.88235e-13 t=25055
fang kuan 	放宽	c=1 d=0.559898 t=25055
fang mian 	方面	c=3 d=0.718924 t=25055
fang qi 	放弃	c=1 d=6.60094e-26 t=25055
fang shi 	方式	c=8 d=0.494893 t=25055
fang shou yi bo 	放手一搏	c=2 d=1.87416 t=25055
fang song 	放松	c=1 d=4.21482e-13 t=25055
fang wei 	防卫	c=1 d=0.0485578 t=25055
fang wen 	访问	c=12 d=0.285076 t=25055
fang xia 	放下	c=0 d=6.15154e-21 t=25055
fang xiang 	方向	c=2 d=4.64853e-18 t=25055
fang yi dui 	放一队	c=1 d=0.740818 t=25055
fang yu 	防御	c=1 d=0.847894 t=25055
fang zai 	放在	c=3 d=2.07124e-36 t=25055
fang zhan ji 	放战绩	c=1 d=0.782705 t=25055
fang zhe 	放着	c=1 d=5.68052e-24 t=25055
fang zhi 	防止	c=2 d=2.13727e-22 t=25055
fang zhi gong 	纺织工	c=1 d=2.12097e-22 t=25055
fei 	费	c=1 d=7.55502e-26 t=25055
fei 	非	c=2 d=0.486752 t=25055
fei chang 	非常	c=9 d=1.60187 t=25055
fei chang dao wei 	非常到位	c=1 d=5.29648e-24 t=25055
fei chang hao 	非常好	c=1 d=0.891366 t=25055
fei fa 	费法	c=1 d=7.29517e-26 t=25055
fei fa 	非法	c=9 d=4.65531e-18 t=25055
fei hua 	废话	c=1 d=7.28129e-33 t=25055
fei jin 	费劲	c=2 d=6.46033e-08 t=25055
fei que ding 	非确定	c=1 d=4.95809e-12 t=25055
fei ren 	废人	c=1 d=1.47899e-16 t=25055
fei ren zai 	非人在	c=1 d=2.90825e-30 t=25055
fei wu 	废物	c=1 d=1.50707e-31 t=25055
fen 	分	c=6 d=1.00833 t=25055
fen bei 	分贝	c=1 d=1.93578e-06 t=25055
fen bian lv 	分辨率	c=1 d=0.737123 t=25055
fen bie 	分别	c=8 d=1.94704e-06 t=25055
fen bie shi 	分别是	c=1 d=0.26982 t=25055
fen bu shi 	分布式	c=1 d=0.985112 t=25055
fen cheng 	分成	c=1 d=6.69614e-18 t=25055
fen ge 	分隔	c=1 d=0.183599 t=25055
fen ge fu 	分隔符	c=1 d=3.81101e-34 t=25055
fen hao 	分号	c=1 d=7.3863e-26 t=25055
fen hao lei 	分号类	c=1 d=7.42333e-25 t=25055
fen jie 	分界	c=1 d=1.5851e-37 t=25055
fen kai 	分开	c=1 d=8.89036e-29 t=25055
fen lei 	分类	c=1 d=4.55174e-06 t=25055
fen li 	分离	c=9 d=0.105399 t=25055
fen lie 	分裂	c=0 d=0.0287941 t=25055
fen lie cheng 	分裂成	c=1 d=0.289384 t=25055
fen mao 	粉毛	c=1 d=6.54549e-15 t=25055
fen ming 	分明	c=1 d=0.232236 t=25055
fen pei 	分配	c=13 d=4.19707 t=25055
fen pei gei 	分配给	c=1 d=0.477114 t=25055
fen qu 	分区	c=2 d=1.08112e-24 t=25055
fen shu 	分数	c=1 d=7.30783e-17 t=25055
fen si qun 	粉丝群	c=1 d=2.63974e-08 t=25055
fen xi 	分析	c=4 d=0.335195 t=25055
fen zhi 	分支	c=1 d=0.13332 t=25055
fen zhong 	分钟	c=2 d=6.7836e-18 t=25055
feng 	封	c=1 d=1.56826e-29 t=25055
feng 	风	c=1 d=8.6068e-30 t=25055
feng ge 	风格	c=5 d=2.91538e-24 t=25055
feng kuang 	疯狂	c=5 d=2.64382 t=25055
feng kuang xue xi 	疯狂学习	c=1 d=0.904837 t=25055
feng mian 	封面	c=1 d=0.366045 t=25055
feng shan 	风扇	c=9 d=4.91776e-34 t=25055
feng wei 	风味	c=1 d=1.1908e-25 t=25055
feng xian 	风险	c=1 d=4.71292e-33 t=25055
fo xi 	佛系	c=1 d=4.33049e-08 t=25055
fou 	否	c=0 d=2.84186e-24 t=25055
fou ding 	否定	c=1 d=0.927743 t=25055
fou ze 	否则	c=2 d=0.451581 t=25055
fu 	副	c=1 d=6.9827e-11 t=25055
fu 	符	c=2 d=1.20827 t=25055
fu 	芙	c=1 d=0.362402 t=25055
fu 	赋	c=1 d=0.472367 t=25055
fu bi 	伏笔	c=0 d=0.0256661 t=25055
fu dan 	负担	c=1 d=3.87796e-33 t=25055
fu dian 	浮点	c=1 d=6.08722e-15 t=25055
fu dian shu 	浮点数	c=1 d=8.06653e-32 t=25055
fu dian shu zi 	浮点数字	c=1 d=6.11773e-14 t=25055
fu gai 	覆盖	c=2 d=2.79859e-19 t=25055
fu gei 	付给	c=1 d=0.00463092 t=25055
fu hao 	符号	c=4 d=0.0526021 t=25055
fu hao chuan 	符号串	c=3 d=7.92054e-15 t=25055
fu he 	符合	c=4 d=0.93656 t=25055
fu jia 	附加	c=1 d=5.06514e-28 t=25055
fu jie dian 	父节点	c=2 d=0.0893673 t=25055
fu jin 	附近	c=1 d=5.42686e-16 t=25055
fu neng liang 	负能量	c=1 d=0.755784 t=25055
fu po 	富婆	c=1 d=0.941765 t=25055
fu ru 	弗如	c=1 d=6.03281e-26 t=25055
fu wu 	服务	c=2 d=1.52478 t=25055
fu wu qi 	服务器	c=1 d=1.0365e-10 t=25055
fu xi 	复习	c=8 d=2.48816 t=25055
fu xi wan 	复习完	c=2 d=1.24033 t=25055
fu yi 	服役	c=0 d=0.00144076 t=25055
fu za 	复杂	c=3 d=0.0432828 t=25055
fu za du 	复杂度	c=1 d=2.23199e-34 t=25055
fu zhi 	复制	c=12 d=0.17552 t=25055
fu zhi 	赋值	c=3 d=0.00498779 t=25055
fu zhi fa 	复制法	c=1 d=0.00324708 t=25055
fu zhi fa 	赋值法	c=1 d=0.00332928 t=25055
fu zhu 	辅助	c=3 d=1.80227 t=25055
ga hei 	尬黑	c=2 d=2.95331e-05 t=25055
gai 	改	c=11 d=2.89104 t=25055
gai 	该	c=5 d=3.29896e-13 t=25055
gai bi 	该笔	c=0 d=0.0900325 t=25055
gai bi a 	该笔啊	c=1 d=0.904837 t=25055
gai bian 	改变	c=7 d=1.80033 t=25055
gai cheng 	改成	c=8 d=0.814647 t=25055
gai dong 	改动	c=2 d=2.95733e-21 t=25055
gai hao 	改好	c=1 d=2.15749e-17 t=25055
gai jin 	改进	c=5 d=0.0982736 t=25055
gai jin yi xia 	改进一下	c=1 d=5.18437e-37 t=25055
gai le 	改了	c=1 d=6.0746e-19 t=25055
gai lun 	概论	c=1 d=8.92581e-17 t=25055
gai lv 	概率	c=1 d=0.000435072 t=25055
gai ming zi 	改名字	c=1 d=1.01861e-11 t=25055
gai ni a ban 	改你啊班	c=1 d=0.759572 t=25055
gai nian 	概念	c=5 d=0.733979 t=25055
gai nian ban 	概念版	c=1 d=0.763379 t=25055
gai wan 	改完	c=1 d=1.60851e-33 t=25055
gai wei 	改为	c=2 d=9.06081e-18 t=25055
gai zen me 	该怎么	c=1 d=0.22313 t=25055
gai zheng 	改正	c=0 d=7.87834e-20 t=25055
gai zheng wei 	改正为	c=1 d=7.91783e-19 t=25055
gan 	干	c=2 d=0.995012 t=25055
gan 	敢	c=1 d=0.744532 t=25055
gan 	肝	c=2 d=3.57311e-11 t=25055
gan cao 	干草	c=1 d=9.70745e-34 t=25055
gan dao 	感到	c=1 d=0.603506 t=25055
gan ga 	尴尬	c=4 d=2.41525 t=25055
gan jia 	干架	c=1 d=9.65081e-24 t=25055
gan jue 	感觉	c=26 d=4.06567 t=25055
gan kuai 	赶快	c=1 d=1.47137e-14 t=25055
gan ma 	干嘛	c=5 d=0.00296357 t=25055
gan shen me 	干什么	c=10 d=1.96674 t=25055
gan shi 	干事	c=1 d=1.35285e-26 t=25055
gan shou 	感受	c=1 d=0.814647 t=25055
gan shuo 	敢说	c=0 d=0.0268474 t=25055
gan wen 	敢问	c=0 d=0.013068 t=25055
gan xie 	感谢	c=2 d=0.913931 t=25055
gan yu 	甘雨	c=1 d=0.923116 t=25055
gan zi 	杆子	c=1 d=1.72696e-16 t=25055
gang bi ye 	刚毕业	c=1 d=4.17061e-36 t=25055
gang cai 	刚才	c=1 d=8.47866e-30 t=25055
gang gang 	刚刚	c=12 d=1.34402 t=25055
gang hao 	刚好	c=1 d=4.04047e-16 t=25055
gang jin 	刚进	c=1 d=5.35517e-36 t=25055
gang kai 	杠开	c=2 d=8.03302e-26 t=25055
gang luo 	刚落	c=0 d=7.06632e-05 t=25055
gang wei 	岗位	c=1 d=2.84873e-22 t=25055
gao 	搞	c=9 d=1.37549 t=25055
gao 	高	c=4 d=1.11733 t=25055
gao bu ding 	搞不定	c=1 d=1.77556e-19 t=25055
gao bu hao 	搞不好	c=2 d=1.18317 t=25055
gao bu qing 	搞不清	c=2 d=2.93299e-12 t=25055
gao de 	搞得	c=1 d=0.847894 t=25055
gao de qi lai 	搞得起来	c=1 d=0.615697 t=25055
gao di 	高低	c=1 d=0.228779 t=25055
gao dian 	搞点	c=1 d=2.80823e-30 t=25055
gao dian 	高点	c=1 d=5.03817e-24 t=25055
gao ding 	搞定	c=1 d=8.24096e-19 t=25055
gao dong 	搞懂	c=0 d=6.29419e-26 t=25055
gao ge 	搞个	c=3 d=1.49144 t=25055
gao gui 	高贵	c=2 d=1.28383 t=25055
gao hao 	搞好	c=1 d=4.69116e-09 t=25055
gao ji 	高级	c=1 d=0.227638 t=25055
gao kao 	高考	c=2 d=1.3207 t=25055
gao le 	高了	c=1 d=2.3493e-19 t=25055
gao liang 	高亮	c=5 d=0.00895885 t=25055
gao ling 	高龄	c=1 d=8.43494e-28 t=25055
gao qing chu 	搞清楚	c=3 d=0.377192 t=25055
gao qing shang 	高情商	c=1 d=0.771052 t=25055
gao san 	高三	c=2 d=1.10637 t=25055
gao shou 	高手	c=1 d=3.33722e-31 t=25055
gao su 	告诉	c=2 d=0.56836 t=25055
gao su ta 	告诉他	c=1 d=0.965605 t=25055
gao xiao 	搞笑	c=1 d=0.810584 t=25055
gao xiao 	高校	c=1 d=0.806541 t=25055
gao xing 	高兴	c=2 d=0.32628 t=25055
gao xue xi 	搞学习	c=1 d=0.937067 t=25055
gao ya 	高压	c=1 d=2.00644e-16 t=25055
gao yu 	高于	c=1 d=6.45902e-35 t=25055
gao zai yi qi 	搞在一起	c=1 d=0.447088 t=25055
ge 	个	c=23 d=2.32617 t=25055
ge 	哥	c=3 d=0.119433 t=25055
ge 	歌	c=2 d=5.617e-24 t=25055
ge bi 	隔壁	c=4 d=1.16802 t=25055
ge bo 	胳膊	c=1 d=1.53486e-11 t=25055
ge bu lin 	哥布林	c=1 d=2.05157e-13 t=25055
ge ci 	歌词	c=1 d=0.860708 t=25055
ge fang mian 	各方面	c=0 d=0.0245367 t=25055
ge ge 	各个	c=5 d=0.0858127 t=25055
ge ge shu xing 	各个属性	c=1 d=0.843665 t=25055
ge ge zhi 	各个值	c=1 d=1.56911e-06 t=25055
ge jia 	各家	c=2 d=1.3207 t=25055
ge kai 	隔开	c=1 d=8.45965e-33 t=25055
ge li 	个例	c=1 d=0.107528 t=25055
ge men 	哥们	c=4 d=0.846126 t=25055
ge men zhe xue qi 	哥们这学期	c=1 d=0.895834 t=25055
ge qu 	歌曲	c=3 d=0.946485 t=25055
ge ren 	个人	c=4 d=1.16825e-06 t=25055
ge sha 	个啥	c=1 d=1.03612e-35 t=25055
ge shi 	格式	c=8 d=0.344728 t=25055
ge shi hua 	格式化	c=4 d=0.910033 t=25055
ge shu 	个数	c=3 d=5.50888e-16 t=25055
ge wei 	各位	c=1 d=0.17552 t=25055
ge zhong 	各种	c=5 d=0.715244 t=25055
gei 	给	c=27 d=2.05985 t=25055
gei chu 	给出	c=3 d=1.87497 t=25055
gei chu le 	给出了	c=1 d=0.726149 t=25055
gei dian 	给点	c=1 d=0.00615802 t=25055
gei fen 	给分	c=1 d=3.54551e-08 t=25055
gei le 	给了	c=1 d=4.72527e-05 t=25055
gei ni 	给你	c=10 d=2.02099 t=25055
gei ren 	给人	c=2 d=0.818731 t=25055
gei shei 	给谁	c=0 d=0.0353455 t=25055
gei wo 	给我	c=20 d=1.68702 t=25055
gei zhi 	给值	c=1 d=0.625002 t=25055
gen 	根	c=3 d=0.923943 t=25055
gen 	跟	c=11 d=1.81039 t=25055
gen ben 	根本	c=7 d=0.410656 t=25055
gen ben xuan ran 	根本渲染	c=1 d=9.61935e-15 t=25055
gen bie 	跟别	c=1 d=0.0010701 t=25055
gen jin 	跟进	c=1 d=0.683861 t=25055
gen ju 	根据	c=3 d=4.94376e-07 t=25055
gen shei 	跟谁	c=0 d=0.0238115 t=25055
gen ta 	跟他	c=2 d=0.00204983 t=25055
gen wo 	跟我	c=1 d=1.01894 t=25055
gen wo shuo 	跟我说	c=2 d=0.895834 t=25055
gen yuan 	根源	c=0 d=0.0895834 t=25055
gen ze 	跟则	c=1 d=6.51395e-17 t=25055
gen zhe 	跟着	c=1 d=6.5466e-17 t=25055
geng 	更	c=10 d=0.813294 t=25055
geng 	梗	c=4 d=1.68421 t=25055
geng bu 	更不	c=0 d=9.05145e-06 t=25055
geng bu ru shuo 	更不如说	c=1 d=9.09683e-05 t=25055
geng chang jian 	更常见	c=1 d=2.35258e-06 t=25055
geng da 	更大	c=1 d=2.17466e-22 t=25055
geng duo 	更多	c=4 d=0.726943 t=25055
geng gai 	更改	c=10 d=1.57162 t=25055
geng gai wei 	更改为	c=1 d=1.64301e-18 t=25055
geng gan dao 	更感到	c=1 d=1.44897e-10 t=25055
geng gao 	更高	c=1 d=0.396531 t=25055
geng ha ren 	更哈人	c=1 d=4.90443e-31 t=25055
geng hao 	更好	c=2 d=3.4029e-25 t=25055
geng hao kan 	更好看	c=1 d=0.358796 t=25055
geng hao yong 	更好用	c=1 d=2.47909e-34 t=25055
geng jia 	更加	c=4 d=1.35732e-06 t=25055
geng jia ming xian 	更加明显	c=1 d=2.61392e-10 t=25055
geng jian dan 	更简单	c=1 d=7.96158e-25 t=25055
geng man 	更慢	c=2 d=9.95014e-23 t=25055
geng ming xian 	更明显	c=1 d=0.0439369 t=25055
geng qing chu 	更清楚	c=1 d=6.36307e-06 t=25055
geng shen 	更深	c=1 d=0.165299 t=25055
geng shi 	更是	c=2 d=1.03668e-12 t=25055
geng shi he 	更适合	c=1 d=1.23448e-37 t=25055
geng xin 	更新	c=15 d=2.13634 t=25055
geng xiu nv 	梗修女	c=1 d=0.955997 t=25055
geng you 	更优	c=0 d=3.60779e-08 t=25055
geng you jie 	更优解	c=1 d=3.62588e-07 t=25055
gong 	共	c=2 d=0.137383 t=25055
gong cheng 	工程	c=1 d=1.39861e-35 t=25055
gong gong 	公共	c=1 d=0.0317456 t=25055
gong ji 	攻击	c=3 d=1.90846 t=25055
gong ji bie ren 	攻击别人	c=1 d=0.22313 t=25055
gong ju 	工具	c=2 d=5.04497e-27 t=25055
gong neng 	功能	c=10 d=3.32206 t=25055
gong qing 	共情	c=1 d=0.0976242 t=25055
gong qing neng li 	共情能力	c=1 d=0.143704 t=25055
gong tong 	共同	c=1 d=1.26555e-06 t=25055
gong zuo 	工作	c=9 d=8.34925e-21 t=25055
gong zuo liang 	工作量	c=1 d=0.744532 t=25055
gong zuo qu 	工作区	c=2 d=0.99005 t=25055
gou 	够	c=2 d=0.891963 t=25055
gou 	钩	c=1 d=1.72397e-25 t=25055
gou bing 	诟病	c=1 d=1.05396e-30 t=25055
gou bu gou 	够不够	c=1 d=0.88692 t=25055
gou gou 	狗狗	c=0 d=0.0790571 t=25055
gou jian 	构建	c=0 d=8.84903e-34 t=25055
gou jian lai 	构建来	c=1 d=8.89339e-33 t=25055
gou mai 	购买	c=0 d=1.74277e-36 t=25055
gou qiang 	够呛	c=1 d=3.76603e-12 t=25055
gou qing chu 	够清楚	c=1 d=9.27398e-26 t=25055
gou tong 	沟通	c=1 d=4.39968e-18 t=25055
gou tou 	狗头	c=1 d=0.290835 t=25055
gou xuan 	勾选	c=2 d=1.32067 t=25055
gou zao 	构造	c=34 d=1.00259 t=25055
gou zao han shu 	构造函数	c=2 d=6.80689e-05 t=25055
gu 	孤	c=0 d=0.099005 t=25055
gu ding 	固定	c=4 d=2.80657 t=25055
gu ji 	估计	c=7 d=1.30842 t=25055
gu ji 	顾及	c=2 d=4.93898e-15 t=25055
gu ji shi 	估计是	c=1 d=4.59827e-08 t=25055
gu ran 	固然	c=1 d=1.89287e-07 t=25055
gu shi 	故事	c=2 d=1.29421e-23 t=25055
gu yong zhe 	孤勇者	c=1 d=0.995012 t=25055
gua 	挂	c=3 d=0.079659 t=25055
gua 	瓜	c=1 d=0.869358 t=25055
gua nian 	挂念	c=1 d=0.066205 t=25055
guai 	乖	c=0 d=0.0618783 t=25055
guai 	拐	c=4 d=2.28111 t=25055
guai shi 	怪事	c=3 d=1.56786 t=25055
guan 	关	c=6 d=0.895834 t=25055
guan 	惯	c=1 d=1.87207e-24 t=25055
guan 	管	c=2 d=6.4137e-11 t=25055
guan bi 	关闭	c=14 d=1.0717 t=25055
guan cha 	观察	c=5 d=0.878095 t=25055
guan cha dao 	观察到	c=1 d=4.52427e-23 t=25055
guan dian 	观点	c=1 d=5.94925e-09 t=25055
guan fang 	官方	c=6 d=1.63004e-13 t=25055
guan gong 	关公	c=1 d=0.00377257 t=25055
guan ji 	关机	c=3 d=3.30773e-24 t=25055
guan jian 	关键	c=9 d=0.739695 t=25055
guan jian dian 	关键点	c=1 d=0.174645 t=25055
guan jun 	冠军	c=1 d=0.869358 t=25055
guan le 	关了	c=1 d=2.18066e-25 t=25055
guan li 	管理	c=5 d=1.84004 t=25055
guan li qi 	管理器	c=3 d=1.81049 t=25055
guan li yuan 	管理员	c=7 d=3.73215 t=25055
guan mo 	观摩	c=1 d=2.90124e-31 t=25055
guan nian 	观念	c=1 d=0.0665368 t=25055
guan quan 	关全	c=1 d=1.14116e-24 t=25055
guan wang 	官网	c=1 d=1.17307e-25 t=25055
guan wo 	关我	c=1 d=0.683861 t=25055
guan xi 	关系	c=9 d=2.07692 t=25055
guan yu 	关于	c=3 d=0.88692 t=25055
guan yu 	关羽	c=1 d=0.0042963 t=25055
guan zhu 	关注	c=8 d=0.883554 t=25055
guang 	光	c=4 d=1.23801 t=25055
guang 	广	c=1 d=2.10673e-31 t=25055
guang 	逛	c=2 d=1.46335 t=25055
guang bi 	光笔	c=0 d=0.000196945 t=25055
guang bi a 	光笔啊	c=1 d=0.00197932 t=25055
guang biao 	光标	c=4 d=0.130142 t=25055
guang gao ke 	广告科	c=1 d=8.19707e-15 t=25055
guang kao 	光靠	c=1 d=1.36435e-08 t=25055
guang zhui 	光锥	c=1 d=4.77764e-17 t=25055
guang zhui 	广追	c=1 d=4.7301e-17 t=25055
gui 	鬼	c=3 d=1 t=25055
gui chu 	鬼畜	c=0 d=0.0186374 t=25055
gui ding 	规定	c=3 d=1.07959 t=25055
gui fan 	规范	c=3 d=0.927743 t=25055
gui gui 	鬼鬼	c=5 d=2.04245 t=25055
gui gui 	龟龟	c=3 d=3.06939e-08 t=25055
gui ren 	贵人	c=1 d=0.164474 t=25055
guo 	过	c=13 d=2.75174 t=25055
guo 	郭	c=1 d=1.98958e-05 t=25055
guo 	锅	c=1 d=0.255381 t=25055
guo cheng 	过程	c=7 d=1.30055 t=25055
guo cheng shi 	过程式	c=1 d=7.83638e-15 t=25055
guo cheng zhong 	过程中	c=5 d=0.663683 t=25055
guo da 	过大	c=1 d=0.429557 t=25055
guo dang 	过当	c=1 d=0.0488012 t=25055
guo du 	过度	c=1 d=0.371577 t=25055
guo heng 	国恒	c=0 d=0.0657047 t=25055
guo heng duo 	国恒多	c=1 d=0.66034 t=25055
guo jia 	国家	c=3 d=0.274816 t=25055
guo jia 	郭嘉	c=2 d=1.98511 t=25055
guo qu 	过去	c=6 d=1.50843 t=25055
guo ran 	果然	c=2 d=1.57936 t=25055
guo wai 	国外	c=3 d=0.0728585 t=25055
guo xiao 	过小	c=1 d=0.431711 t=25055
guo yu 	过于	c=2 d=8.3943e-30 t=25055
guo zai 	过载	c=1 d=0.000531398 t=25055
ha 	哈	c=2 d=0.231254 t=25055
ha er 	哈尔	c=0 d=0.0621885 t=25055
ha er bin 	哈尔滨	c=4 d=2.44674 t=25055
ha er bing 	哈尔并	c=2 d=1.23487 t=25055
ha ha 	哈哈	c=3 d=0.930638 t=25055
ha ha ha 	哈哈哈	c=1 d=0.00292342 t=25055
ha ha ha ha 	哈哈哈哈	c=1 d=1.01253 t=25055
ha ha ha ha ha 	哈哈哈哈哈	c=8 d=2.37101 t=25055
ha ha ha ha ha ha 	哈哈哈哈哈哈	c=4 d=1.44784 t=25055
ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈	c=1 d=0.00798652 t=25055
ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈	c=1 d=0.955997 t=25055
ha ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈哈	c=1 d=0.995012 t=25055
ha ren 	哈人	c=4 d=1.71843 t=25055
ha xi 	哈希	c=1 d=0.970446 t=25055
hai 	还	c=21 d=2.39944 t=25055
hai bao 	海报	c=1 d=0.210136 t=25055
hai bu 	还不	c=0 d=3.70227e-18 t=25055
hai bu hao 	还不好	c=1 d=0.431711 t=25055
hai bu ru 	还不如	c=1 d=2.75646e-17 t=25055
hai bu zhi dao 	还不知道	c=1 d=2.99478e-22 t=25055
hai bu zhi yu 	还不至于	c=1 d=3.72083e-17 t=25055
hai dei 	还得	c=2 d=0.000113411 t=25055
hai dei kan 	还得看	c=1 d=5.11779e-32 t=25055
hai dei shi 	还得是	c=4 d=0.778863 t=25055
hai gao 	还高	c=1 d=0.0193512 t=25055
hai hao 	还好	c=5 d=0.178173 t=25055
hai ji de 	还记得	c=1 d=0.382893 t=25055
hai jiu 	还就	c=1 d=3.69586e-26 t=25055
hai ka zai zhe 	还卡在这	c=1 d=7.57845e-33 t=25055
hai kan 	还看	c=1 d=0.196912 t=25055
hai ke yi 	还可以	c=1 d=0.960789 t=25055
hai kuai 	还快	c=1 d=0.995012 t=25055
hai liang 	海量	c=1 d=0.106992 t=25055
hai mei 	还没	c=2 d=2.32956e-08 t=25055
hai mei fa 	还没法	c=1 d=3.02077e-06 t=25055
hai mei huai 	还没坏	c=1 d=1.52533e-26 t=25055
hai mei liang 	还没亮	c=1 d=5.22757e-17 t=25055
hai mei zai 	还没在	c=0 d=1.36269e-24 t=25055
hai nen 	还嫩	c=1 d=1 t=25055
hai neng 	还能	c=4 d=0.0115624 t=25055
hai pa 	害怕	c=2 d=0.293758 t=25055
hai shang 	海上	c=3 d=8.32744e-27 t=25055
hai sheng xia 	还剩下	c=1 d=2.17918e-17 t=25055
hai shi 	还是	c=105 d=6.93694 t=25055
hai shi shuo 	还时说	c=3 d=5.32151e-27 t=25055
hai shuo 	还说	c=0 d=1.50032e-09 t=25055
hai xiang 	还想	c=1 d=2.07113e-07 t=25055
hai xing 	还行	c=1 d=0.687289 t=25055
hai xing ba 	还行吧	c=1 d=7.35572e-35 t=25055
hai xu yao 	还需要	c=2 d=0.706418 t=25055
hai yao 	还要	c=5 d=0.441497 t=25055
hai yi 	还以	c=0 d=0.0574072 t=25055
hai yi wei 	还以为	c=1 d=6.34535e-32 t=25055
hai you 	还有	c=37 d=3.36247 t=25055
hai you mei you 	还有没有	c=1 d=0.582748 t=25055
hai you yi ge 	还有一个	c=5 d=1.79546 t=25055
hai you yi jian shi 	还有一件事	c=1 d=2.11111e-26 t=25055
hai zai 	还在	c=6 d=0.990436 t=25055
hai zhen shi 	还真是	c=5 d=1.26315e-13 t=25055
han 	憨	c=1 d=4.44692e-26 t=25055
han 	汉	c=3 d=2.10055 t=25055
han hua 	汉化	c=0 d=1.81427e-09 t=25055
han hua su 	汉化苏	c=1 d=1.82336e-08 t=25055
han jia 	寒假	c=2 d=0.694211 t=25055
han jin liang 	含金量	c=1 d=0.000160856 t=25055
han liu jia bei 	汗流浃背	c=3 d=2.37389 t=25055
